status,function,function_new,Month,APP
finished,oGE,oGTa,April 2024,0.0
remote,Old iGV,iGV,April 2024,0.0
applied,Old oGT,oGTa,April 2024,0.0
finished,Old oGT,oGTa,April 2024,0.0
finished,Old oGV,oGV,April 2024,0.0
applied,oGE,oGTa,April 2024,0.0
remote,iGE,iGTa,April 2024,0.0
applied,oGV,oGV,April 2024,26.0
applied,oGTa,oGTa,April 2024,67.0
remote,Old iGT,iGTa,April 2024,0.0
applied,oGTe,oGTe,April 2024,24.0
o,oGV,oGV,April 2024,0.0
o,oGT Old,oGTa,April 2024,0.0
o,oGE,oGTa,April 2024,0.0
o,oGV,oGV,April 2024,173.0
o,oGTa,oGTa,April 2024,40.0
o,oGTe,oGTe,April 2024,17.0
i,iGV,iGV,April 2024,0.0
i,iGT Old,iGTa,April 2024,0.0
i,iGE,iGTa,April 2024,0.0
i,iGV,iGV,April 2024,24.0
i,iGTa,iGTa,April 2024,1.0
i,iGTe,iGTe,April 2024,1.0
total,Total,Total,April 2024,665.0
total,Total,Total,April 2024,198.0
accepted,Total,Total,April 2024,118.0
total,Total,Total,April 2024,114.0
total,Total,Total,April 2024,4.0
realized,Total,Total,April 2024,0.0
total,Total,Total,April 2024,18.0
total,Total,Total,April 2024,11.0
realized,Old iGT,iGTa,May 2024,0.0
realized,Old iGV,iGV,May 2024,0.0
realized,iGTa,iGTa,May 2024,1.0
realized,iGV,iGV,May 2024,10.0
realized,iGTe,iGTe,May 2024,0.0
realized,iGE,iGTa,May 2024,0.0
approved,Old iGV,iGV,May 2024,0.0
finished,iGTa,iGTa,May 2024,2.0
finished,iGV,iGV,May 2024,6.0
finished,iGTe,iGTe,May 2024,0.0
realized,oGTe,oGTe,May 2024,1.0
realized,oGTa,oGTa,May 2024,0.0
realized,oGV,oGV,May 2024,4.0
realized,oGE,oGTa,May 2024,0.0
realized,Old oGT,oGTa,May 2024,0.0
realized,Old oGV,oGV,May 2024,0.0
approved,Old oGT,oGTa,May 2024,0.0
approved,Old oGV,oGV,May 2024,0.0
approved,oGV,oGV,May 2024,24.0
approved,oGE,oGTa,May 2024,0.0
completed,Old iGV,iGV,May 2024,0.0
applied,Old oGV,oGV,May 2024,0.0
completed,iGTa,iGTa,May 2024,0.0
completed,iGTe,iGTe,May 2024,0.0
completed,oGE,oGTa,May 2024,0.0
approved,oGTe,oGTe,May 2024,3.0
completed,iGV,iGV,May 2024,1.0
completed,oGV,oGV,May 2024,0.0
approved,oGTa,oGTa,May 2024,0.0
completed,oGTa,oGTa,May 2024,1.0
completed,oGTe,oGTe,May 2024,2.0
completed,iGE,iGTa,May 2024,0.0
completed,Old iGT,iGTa,May 2024,0.0
completed,Old oGV,oGV,May 2024,0.0
completed,Old oGT,oGTa,May 2024,0.0
finished,iGE,iGTa,May 2024,0.0
applied,iGTa,iGTa,May 2024,60.0
applied,iGTe,iGTe,May 2024,48.0
finished,Old iGT,iGTa,May 2024,0.0
finished,Old iGV,iGV,May 2024,0.0
approved,Old iGT,iGTa,May 2024,0.0
applied,iGE,iGTa,May 2024,0.0
approved,iGE,iGTa,May 2024,0.0
applied,iGV,iGV,May 2024,187.0
approved,iGV,iGV,May 2024,38.0
applied,Old iGV,iGV,May 2024,0.0
approved,iGTe,iGTe,May 2024,1.0
applied,Old iGT,iGTa,May 2024,0.0
approved,iGTa,iGTa,May 2024,3.0
remote,oGTe,oGTe,May 2024,0.0
remote,oGTa,oGTa,May 2024,0.0
remote,iGTe,iGTe,May 2024,0.0
remote,Old oGV,oGV,May 2024,0.0
remote,iGTa,iGTa,May 2024,0.0
remote,iGV,iGV,May 2024,0.0
finished,oGTe,oGTe,May 2024,3.0
remote,Old oGT,oGTa,May 2024,0.0
finished,oGTa,oGTa,May 2024,1.0
remote,oGE,oGTa,May 2024,0.0
finished,oGV,oGV,May 2024,1.0
remote,oGV,oGV,May 2024,0.0
finished,oGE,oGTa,May 2024,0.0
remote,Old iGV,iGV,May 2024,0.0
applied,Old oGT,oGTa,May 2024,0.0
finished,Old oGT,oGTa,May 2024,0.0
finished,Old oGV,oGV,May 2024,0.0
applied,oGE,oGTa,May 2024,0.0
remote,iGE,iGTa,May 2024,0.0
applied,oGV,oGV,May 2024,54.0
applied,oGTa,oGTa,May 2024,43.0
remote,Old iGT,iGTa,May 2024,0.0
applied,oGTe,oGTe,May 2024,17.0
o,oGV,oGV,May 2024,0.0
o,oGT Old,oGTa,May 2024,0.0
o,oGE,oGTa,May 2024,0.0
o,oGV,oGV,May 2024,244.0
o,oGTa,oGTa,May 2024,62.0
o,oGTe,oGTe,May 2024,12.0
i,iGV,iGV,May 2024,0.0
i,iGT Old,iGTa,May 2024,0.0
i,iGE,iGTa,May 2024,0.0
i,iGV,iGV,May 2024,24.0
i,iGTa,iGTa,May 2024,15.0
i,iGTe,iGTe,May 2024,6.0
total,Total,Total,May 2024,409.0
total,Total,Total,May 2024,133.0
accepted,Total,Total,May 2024,77.0
total,Total,Total,May 2024,69.0
total,Total,Total,May 2024,16.0
realized,Total,Total,May 2024,0.0
total,Total,Total,May 2024,13.0
total,Total,Total,May 2024,4.0
realized,Old iGT,iGTa,June 2024,0.0
realized,Old iGV,iGV,June 2024,0.0
realized,iGTa,iGTa,June 2024,1.0
realized,iGV,iGV,June 2024,1.0
realized,iGTe,iGTe,June 2024,0.0
realized,iGE,iGTa,June 2024,0.0
approved,Old iGV,iGV,June 2024,0.0
finished,iGTa,iGTa,June 2024,1.0
finished,iGV,iGV,June 2024,10.0
finished,iGTe,iGTe,June 2024,0.0
realized,oGTe,oGTe,June 2024,0.0
realized,oGTa,oGTa,June 2024,0.0
realized,oGV,oGV,June 2024,0.0
realized,oGE,oGTa,June 2024,0.0
