"Function: oGTa, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Applied,ASL,282.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,282.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0
Realized,ASL,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0
Finished,ASL,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: iGV, Term: 22.23"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,0.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,nan,20.0
Applied,ASL,129.0,221.0,496.0,402.0,259.0,132.0,106.0,67.0,90.0,151.0,285.0,nan,2338.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,14.0,17.0,28.0,27.0,16.0,12.0,11.0,7.0,8.0,13.0,13.0,nan,166.0
Realized,ASL,13.0,51.0,21.0,20.0,5.0,20.0,33.0,21.0,8.0,5.0,6.0,nan,203.0
Finished,ASL,5.0,31.0,50.0,26.0,18.0,7.0,12.0,32.0,26.0,12.0,4.0,nan,223.0
Completed,ASL,1.0,9.0,12.0,7.0,7.0,2.0,7.0,20.0,11.0,4.0,4.0,nan,84.0

"Function: iGV, Term: 23.24"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,nan,10.0
Applied,ASL,210.0,205.0,492.0,522.0,411.0,333.0,223.0,295.0,315.0,200.0,237.0,nan,3443.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,34.0,35.0,69.0,73.0,75.0,73.0,46.0,32.0,31.0,31.0,60.0,nan,559.0
Realized,ASL,27.0,10.0,5.0,15.0,16.0,70.0,132.0,65.0,29.0,27.0,20.0,nan,416.0
Finished,ASL,20.0,13.0,7.0,8.0,8.0,16.0,54.0,128.0,74.0,42.0,27.0,nan,397.0
Completed,ASL,12.0,6.0,2.0,3.0,4.0,4.0,21.0,60.0,37.0,15.0,9.0,nan,173.0

"Function: iGV, Term: 24.25"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,0.0,56.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,104.0
Applied,ASL,nan,219.0,387.0,336.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1129.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,47.0,84.0,96.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,265.0
Realized,ASL,nan,6.0,14.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,34.0
Finished,ASL,nan,23.0,8.0,14.0,6.0,10.0,0.0,2.0,0.0,0.0,0.0,nan,63.0
Completed,ASL,nan,11.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,22.0

"Function: oGV, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.0
Applied,ASL,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0
Realized,ASL,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0
Finished,ASL,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: oGV, Term: 16.17"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,37.0,12.0,71.0,39.0,44.0,22.0,32.0,44.0,53.0,93.0,96.0,nan,543.0
Applied,ASL,37.0,3.0,7.0,57.0,60.0,23.0,28.0,22.0,18.0,50.0,69.0,nan,374.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
