index,Entity,Function,Term,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
180,1340,iGV,23.24,0.0,1.0,2.0,1.0,3.0,11.0,8.0,19.0,11.0,5.0,5.0,0.0,66.0
181,1340,iGV,23.24,0.0,1.0,1.0,0.0,0.0,4.0,4.0,13.0,2.0,1.0,1.0,0.0,27.0
182,1340,iGV,24.25,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0
183,1340,iGV,24.25,21.0,45.0,36.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,119.0
184,1340,iGV,24.25,6.0,7.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0
185,1340,iGV,24.25,6.0,6.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0
186,1340,iGV,24.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
187,1340,iGV,24.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0
188,1340,iGV,24.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
189,1340,oGV,15.16,,,,,,,,,,,,13.0,13.0
190,1340,oGV,15.16,,,,,,,,,,,,2.0,2.0
191,1340,oGV,15.16,,,,,,,,,,,,1.0,1.0
192,1340,oGV,15.16,,,,,,,,,,,,1.0,1.0
193,1340,oGV,15.16,,,,,,,,,,,,2.0,2.0
194,1340,oGV,15.16,,,,,,,,,,,,1.0,1.0
195,1340,oGV,15.16,,,,,,,,,,,,0.0,0.0
196,1340,oGV,16.17,7.0,25.0,6.0,8.0,3.0,5.0,8.0,5.0,19.0,9.0,4.0,7.0,106.0
197,1340,oGV,16.17,0.0,0.0,12.0,37.0,9.0,4.0,0.0,0.0,11.0,6.0,5.0,1.0,85.0
198,1340,oGV,16.17,0.0,0.0,4.0,25.0,11.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,52.0
199,1340,oGV,16.17,0.0,0.0,3.0,25.0,11.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,48.0
200,1340,oGV,16.17,0.0,0.0,0.0,0.0,18.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,31.0
201,1340,oGV,16.17,0.0,1.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,1.0,32.0
202,1340,oGV,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1340,oGV,17.18,22.0,24.0,22.0,4.0,9.0,3.0,6.0,2.0,1.0,7.0,3.0,3.0,106.0
204,1340,oGV,17.18,18.0,24.0,52.0,19.0,9.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,141.0
205,1340,oGV,17.18,2.0,11.0,34.0,13.0,8.0,5.0,0.0,2.0,0.0,3.0,1.0,0.0,79.0
206,1340,oGV,17.18,1.0,11.0,34.0,14.0,8.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,76.0
207,1340,oGV,17.18,0.0,0.0,2.0,3.0,31.0,8.0,4.0,1.0,1.0,0.0,1.0,0.0,51.0
208,1340,oGV,17.18,0.0,0.0,0.0,1.0,1.0,14.0,24.0,7.0,1.0,0.0,1.0,0.0,49.0
209,1340,oGV,17.18,0.0,0.0,0.0,0.0,0.0,13.0,18.0,3.0,0.0,0.0,1.0,0.0,35.0
210,1340,oGV,18.19,9.0,30.0,8.0,15.0,1.0,3.0,5.0,32.0,11.0,1.0,3.0,4.0,122.0
211,1340,oGV,18.19,7.0,19.0,16.0,24.0,10.0,5.0,4.0,34.0,7.0,9.0,3.0,1.0,139.0
212,1340,oGV,18.19,1.0,5.0,10.0,11.0,2.0,3.0,1.0,16.0,0.0,6.0,3.0,0.0,58.0
213,1340,oGV,18.19,0.0,6.0,9.0,11.0,2.0,2.0,2.0,16.0,0.0,3.0,4.0,1.0,56.0
214,1340,oGV,18.19,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,1.0,14.0,0.0,29.0
215,1340,oGV,18.19,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,1.0,12.0,28.0
216,1340,oGV,18.19,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,12.0,27.0
217,1340,oGV,19.20,3.0,31.0,10.0,10.0,8.0,8.0,10.0,20.0,8.0,16.0,9.0,,133.0
218,1340,oGV,19.20,2.0,31.0,23.0,19.0,12.0,4.0,3.0,15.0,6.0,8.0,2.0,,125.0
219,1340,oGV,19.20,1.0,12.0,19.0,6.0,7.0,2.0,1.0,8.0,2.0,1.0,1.0,,60.0
220,1340,oGV,19.20,1.0,9.0,11.0,5.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,,36.0
221,1340,oGV,19.20,2.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,2.0,2.0,,26.0
222,1340,oGV,19.20,2.0,2.0,0.0,0.0,1.0,2.0,16.0,1.0,0.0,0.0,1.0,,25.0
223,1340,oGV,19.20,2.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,,21.0
224,1340,oGV,21.22,,,,,,,,,,,,24.0,24.0
225,1340,oGV,21.22,,,,,,,,,,,,1.0,1.0
226,1340,oGV,21.22,,,,,,,,,,,,1.0,1.0
227,1340,oGV,21.22,,,,,,,,,,,,0.0,0.0
228,1340,oGV,21.22,,,,,,,,,,,,0.0,0.0
229,1340,oGV,21.22,,,,,,,,,,,,0.0,0.0
230,1340,oGV,21.22,,,,,,,,,,,,0.0,0.0
231,1340,oGV,22.23,26.0,15.0,11.0,12.0,43.0,30.0,5.0,4.0,4.0,9.0,14.0,8.0,181.0
232,1340,oGV,22.23,1.0,2.0,0.0,4.0,0.0,2.0,2.0,1.0,2.0,11.0,2.0,3.0,30.0
233,1340,oGV,22.23,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,8.0
234,1340,oGV,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
235,1340,oGV,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
236,1340,oGV,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1340,oGV,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1340,oGV,23.24,11.0,9.0,18.0,7.0,10.0,2.0,3.0,1.0,3.0,7.0,8.0,7.0,86.0
239,1340,oGV,23.24,5.0,3.0,8.0,5.0,3.0,2.0,2.0,1.0,0.0,4.0,5.0,4.0,42.0
