status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Applied,iGTe,iGTe,March 2021,70.0,2021-03-01,Applied,MAR,21.22
Finished,Old iGT,iGTa,March 2021,1.0,2021-03-01,Finished,MAR,21.22
Finished,Old iGV,iGV,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Approved,Old iGT,iGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Applied,iGE,iGTa,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Approved,iGE,iGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Applied,iGV,iGV,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Approved,iGV,iGV,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Applied,Old iGV,iGV,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Approved,iGTe,iGTe,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Applied,Old iGT,iGTa,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Approved,iGTa,iGTa,March 2021,0.0,2021-03-01,Approved,MAR,21.22
Remote Realized,oGTe,oGTe,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Remote Realized,oGTa,oGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Remote Realized,iGTe,iGTe,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Remote Realized,Old oGV,oGV,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Remote Realized,iGTa,iGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Remote Realized,iGV,iGV,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Finished,oGTe,oGTe,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Remote Realized,Old oGT,oGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Finished,oGTa,oGTa,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Remote Realized,oGE,oGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Finished,oGV,oGV,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Remote Realized,oGV,oGV,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Finished,oGE,oGTa,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Remote Realized,Old iGV,iGV,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Applied,Old oGT,oGTa,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Finished,Old oGT,oGTa,March 2021,0.0,2021-03-01,Finished,MAR,21.22
