"Function: oGTa, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Finished,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,37.0
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: iGV, Term: 16.17"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,7.0,19.0,15.0,5.0,8.0,4.0,2.0,17.0,38.0,14.0,42.0,6.0,177.0
Applied,ASL,118.0,412.0,1114.0,882.0,287.0,95.0,49.0,55.0,290.0,678.0,398.0,191.0,4569.0
Accepted,ASL,26.0,33.0,218.0,260.0,81.0,38.0,14.0,10.0,44.0,188.0,109.0,51.0,1072.0
Approved,ASL,20.0,26.0,178.0,251.0,86.0,31.0,20.0,10.0,31.0,149.0,111.0,51.0,964.0
Realized,ASL,38.0,15.0,11.0,20.0,144.0,297.0,64.0,8.0,10.0,0.0,35.0,223.0,865.0
Finished,ASL,35.0,190.0,29.0,10.0,29.0,52.0,259.0,164.0,33.0,9.0,5.0,5.0,820.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0

"Function: iGV, Term: 17.18"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,50.0,9.0,12.0,10.0,4.0,3.0,11.0,5.0,7.0,17.0,33.0,17.0,178.0
Applied,ASL,598.0,1072.0,1318.0,1112.0,642.0,322.0,246.0,229.0,406.0,383.0,375.0,327.0,7030.0
Accepted,ASL,38.0,176.0,380.0,301.0,135.0,62.0,29.0,50.0,72.0,86.0,57.0,58.0,1444.0
Approved,ASL,24.0,137.0,330.0,288.0,123.0,66.0,27.0,35.0,51.0,93.0,45.0,40.0,1259.0
Realized,ASL,42.0,16.0,25.0,63.0,225.0,371.0,161.0,32.0,8.0,8.0,30.0,116.0,1097.0
Finished,ASL,79.0,191.0,36.0,19.0,24.0,177.0,369.0,193.0,85.0,14.0,15.0,21.0,1223.0
Completed,ASL,1.0,7.0,1.0,0.0,12.0,96.0,178.0,95.0,19.0,3.0,7.0,13.0,432.0

"Function: iGV, Term: 18.19"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,93.0,70.0,51.0,19.0,13.0,7.0,47.0,3.0,14.0,23.0,9.0,48.0,397.0
Applied,ASL,412.0,839.0,805.0,744.0,572.0,253.0,212.0,290.0,446.0,515.0,272.0,325.0,5685.0
Accepted,ASL,89.0,209.0,325.0,221.0,117.0,65.0,38.0,83.0,85.0,203.0,68.0,75.0,1578.0
Approved,ASL,83.0,166.0,307.0,215.0,105.0,62.0,21.0,68.0,66.0,160.0,61.0,46.0,1360.0
Realized,ASL,16.0,8.0,3.0,55.0,163.0,455.0,111.0,20.0,14.0,7.0,40.0,130.0,1022.0
Finished,ASL,43.0,91.0,14.0,4.0,15.0,162.0,400.0,200.0,28.0,15.0,5.0,40.0,1017.0
Completed,ASL,29.0,55.0,10.0,3.0,13.0,100.0,269.0,133.0,17.0,14.0,4.0,34.0,681.0

"Function: iGV, Term: 19.20"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
